YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2017,1,Brendan Hart,Russell Wilson,8.3,Todd Gurley II,18.1,David Johnson,10,Dez Bryant,5.3,Allen Robinson,2.2,Travis Kelce,6.9,Panthers D/ST,13.2,Terrance West,rb,14
2017,2,Brendan Hart,Russell Wilson,15.3,Todd Gurley II,25.1,Terrance West,11.5,Dez Bryant,15.4,Pierre Garcon,4.1,Travis Kelce,20.3,Panthers D/ST,9,Corey Davis,wr,0.9
2017,3,Brendan Hart,Russell Wilson,33.5,Todd Gurley II,35.4,Jalen Richard,1.3,Dez Bryant,8.2,Pierre Garcon,17.7,Travis Kelce,0.6,Packers D/ST,6.1,Jordan Matthews,wr,7.6
2017,4,Brendan Hart,Russell Wilson,27.6,Todd Gurley II,31,Terrance West,-0.7,Dez Bryant,12.3,Pierre Garcon,5.6,Travis Kelce,20.9,Packers D/ST,10.6,Jordan Matthews,wr,8
2017,5,Brendan Hart,Russell Wilson,11.5,Todd Gurley II,4,Latavius Murray,5.3,Dez Bryant,13.7,Pierre Garcon,13.4,Travis Kelce,13.8,Steelers D/ST,4.9,Devin Funchess,wr,14.8
2017,6,Brendan Hart,Philip Rivers,14.3,Todd Gurley II,12.5,Andre Ellington,0,Pierre Garcon,8,Devin Funchess,5.1,Travis Kelce,5.7,Redskins D/ST,4.5,Matt Breida,rb,4.6
2017,7,Brendan Hart,Russell Wilson,26.4,Todd Gurley II,23.4,Latavius Murray,17.3,Dez Bryant,15.8,Pierre Garcon,7.4,Travis Kelce,11.3,Eagles D/ST,5.3,Devin Funchess,wr,6.1
2017,8,Brendan Hart,Russell Wilson,35.1,Latavius Murray,5.2,Jalen Richard,6.1,Dez Bryant,5.9,Devin Funchess,2.1,Travis Kelce,22.8,Eagles D/ST,19.6,Pierre Garcon,wr,2.7
2017,9,Brendan Hart,Russell Wilson,23.6,Todd Gurley II,23.4,Eddie Lacy,3.9,Dez Bryant,10.3,Devin Funchess,11.1,Travis Kelce,16.8,Eagles D/ST,9.8,Corey Davis,wr,3.8
