YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2017,1,Andrew McDowell,Andy Dalton,-3,LeSean McCoy,18.4,Ty Montgomery,17.3,Keenan Allen,12,Sterling Shepard,8.5,Jared Cook,8.1,Vikings D/ST,1.1,Rob Kelley,rb,3
2017,2,Andrew McDowell,Jameis Winston,12.5,LeSean McCoy,7.3,Ty Montgomery,26,Keenan Allen,14.5,Sterling Shepard,4,Jared Cook,4.5,Vikings D/ST,1.1,Rob Kelley,rb,7.8
2017,3,Andrew McDowell,Jameis Winston,15.5,LeSean McCoy,10.4,Ty Montgomery,9,Keenan Allen,8.6,Sterling Shepard,22.8,Jared Cook,12.3,Vikings D/ST,8.4,Brandon Coleman,wr,7.6
2017,4,Andrew McDowell,Andy Dalton,28.3,LeSean McCoy,12.3,Ty Montgomery,2.8,Keenan Allen,16.3,Sterling Shepard,7.9,Jared Cook,6.1,Vikings D/ST,8.7,Willie Snead,wr,0
2017,5,Andrew McDowell,Jameis Winston,18.5,LeSean McCoy,11.9,Jamaal Williams,0.1,Keenan Allen,8.7,Sterling Shepard,1.4,Jared Cook,2,Vikings D/ST,7.1,Tavon Austin,wr,9.6
2017,6,Andrew McDowell,Jameis Winston,2.4,Ty Montgomery,3.6,Rob Kelley,0,Keenan Allen,7,Tavon Austin,0,Jared Cook,2.4,Vikings D/ST,13.9,Willie Snead,wr,1.6
2017,7,Andrew McDowell,Jameis Winston,23.4,LeSean McCoy,24.7,Ty Montgomery,2,Keenan Allen,5.6,Sterling Shepard,0,Jared Cook,13.7,Vikings D/ST,8.3,Rob Kelley,rb,4
2017,8,Andrew McDowell,Andy Dalton,18.7,LeSean McCoy,26.3,DeAndre Washington,16.8,Keenan Allen,8.1,Willie Snead,0,Jared Cook,7.7,Vikings D/ST,8.9,Rob Kelley,rb,7.9
2017,9,Andrew McDowell,Jameis Winston,3.5,LeSean McCoy,2.5,Ty Montgomery,5.6,Sterling Shepard,9.5,Marquise Goodwin,7.8,Jared Cook,16.6,Raiders D/ST,1.3,Rob Kelley,rb,13.8
