YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2017,1,Erik Stryshak,Marcus Mariota,18.8,Christian McCaffrey,9,Mike Gillislee,22.5,Stefon Diggs,24.2,Kendall Wright,4.9,Jimmy Graham,2.3,Bills D/ST,8.8,Ezekiel Elliott,rb,16.5
2017,2,Erik Stryshak,Marcus Mariota,13,Christian McCaffrey,6.4,Mike Gillislee,12.9,Stefon Diggs,4.1,Chris Hogan,16.3,Jimmy Graham,0.6,Ravens D/ST,13.7,Ezekiel Elliott,rb,4.2
2017,3,Erik Stryshak,Jay Cutler,11.7,Christian McCaffrey,16.2,Mike Gillislee,3.1,Odell Beckham Jr.,24.4,Stefon Diggs,33.3,Hunter Henry,0,Ravens D/ST,-5.2,Ezekiel Elliott,rb,16.9
2017,4,Erik Stryshak,Marcus Mariota,15.7,Christian McCaffrey,6.9,Ezekiel Elliott,27.9,Stefon Diggs,12.3,Chris Hogan,14.5,Jimmy Graham,8.1,Ravens D/ST,1.2,Odell Beckham Jr.,wr,12.5
2017,5,Erik Stryshak,Jacoby Brissett,18,Christian McCaffrey,12.3,Ezekiel Elliott,13.7,Odell Beckham Jr.,19,Chris Hogan,17.4,Jimmy Graham,12.7,n/a,0,Stefon Diggs,wr,0.9
2017,6,Erik Stryshak,Marcus Mariota,14.2,Christian McCaffrey,17.4,Mike Gillislee,2.4,Chris Hogan,2.4,Cooper Kupp,4.5,Jack Doyle,12.5,Falcons D/ST,3,Doug Martin,rb,14.9
2017,7,Erik Stryshak,Marcus Mariota,8.9,Christian McCaffrey,8.1,Doug Martin,9,Chris Hogan,9.1,Mike Williams,0,Jimmy Graham,12.6,Saints D/ST,5.1,Ezekiel Elliott,rb,40.4
2017,8,Erik Stryshak,Josh McCown,18.3,Christian McCaffrey,7.7,Dion Lewis,6.4,Stefon Diggs,4.6,Chris Hogan,8.5,Jimmy Graham,17.9,Saints D/ST,5.9,Ezekiel Elliott,rb,25.9
2017,9,Erik Stryshak,Marcus Mariota,15.3,Christian McCaffrey,17.9,Doug Martin,0.7,Josh Doctson,7.4,Cooper Kupp,6.9,Jimmy Graham,8.4,Saints D/ST,18.4,Ezekiel Elliott,rb,15.3
