YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2017,1,Chandler Dalton,Cam Newton,13.1,DeMarco Murray,7,Kareem Hunt,43.1,Demaryius Thomas,9.2,Jeremy Maclin,12.6,Jason Witten,15.4,Jaguars D/ST,28.8,Leonard Fournette,rb,19.9
2017,2,Chandler Dalton,Cam Newton,11.8,Leonard Fournette,13.1,Kareem Hunt,24.4,Demaryius Thomas,10.1,Jeremy Maclin,11.1,Coby Fleener,10.8,Jaguars D/ST,-0.7,DeMarco Murray,rb,3.3
2017,3,Chandler Dalton,Cam Newton,8.3,Leonard Fournette,15.5,Kareem Hunt,24.8,Demaryius Thomas,12.8,Jeremy Maclin,1.3,Jason Witten,0.8,Jaguars D/ST,13.2,DeVante Parker,wr,17.6
2017,4,Chandler Dalton,Alex Smith,27.3,Leonard Fournette,22.5,Kareem Hunt,14.1,Demaryius Thomas,1.6,DeVante Parker,9.9,Jason Witten,1.4,Jaguars D/ST,11.9,Mark Ingram,rb,8.2
2017,5,Chandler Dalton,Cam Newton,26.2,Leonard Fournette,30.9,Kareem Hunt,13.1,Jeremy Maclin,7.3,DeVante Parker,1.1,Jason Witten,8.1,Jaguars D/ST,25.1,DeMarco Murray,rb,6.9
2017,6,Chandler Dalton,Alex Smith,15.1,Leonard Fournette,20.8,Kareem Hunt,13.5,Demaryius Thomas,16.3,Mike Evans,17,Coby Fleener,0,Jaguars D/ST,5.7,DeMarco Murray,rb,16.7
2017,7,Chandler Dalton,Alex Smith,25.7,Kareem Hunt,13.7,Chris Ivory,8.7,Demaryius Thomas,1.9,Mike Evans,18.3,Jason Witten,13.4,Jaguars D/ST,15.4,DeMarco Murray,rb,9.1
2017,8,Chandler Dalton,Alex Smith,13.4,Kareem Hunt,8.3,Tarik Cohen,7.3,Demaryius Thomas,9.1,Mike Evans,8.5,Jason Witten,4.6,Falcons D/ST,6.2,Ted Ginn Jr.,wr,7.8
2017,9,Chandler Dalton,Alex Smith,18.4,DeMarco Murray,5.1,Chris Ivory,11.9,Demaryius Thomas,17,Mike Evans,1.8,Jason Witten,1,Jaguars D/ST,13.9,Kareem Hunt,rb,8.1
