YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2017,1,Richard Graney,Sam Bradford,25.5,Dalvin Cook,15.2,Frank Gore,5.7,Michael Thomas,7,Cole Beasley,4.7,Jordan Reed,6.1,Bengals D/ST,4.4,Rishard Matthews,wr,9.6
2017,2,Richard Graney,Trevor Siemian,22.6,Dalvin Cook,7.4,Frank Gore,10.6,Mike Evans,18.8,Michael Thomas,11.4,Jordan Reed,7.8,Bengals D/ST,5.6,Cooper Kupp,wr,4.8
2017,3,Richard Graney,Trevor Siemian,7.6,Dalvin Cook,25.4,Frank Gore,12.2,Mike Evans,10.2,Michael Thomas,18.2,Eric Ebron,1.9,Patriots D/ST,3.3,Cooper Kupp,wr,2.7
2017,4,Richard Graney,Trevor Siemian,11.3,Dalvin Cook,11.9,Frank Gore,9.5,Mike Evans,15.2,Michael Thomas,18.9,Jordan Reed,3.6,Bengals D/ST,8.6,Rishard Matthews,wr,6.4
2017,5,Richard Graney,Sam Bradford,1.4,Frank Gore,10.1,Wayne Gallman,10.7,Mike Evans,7.4,Rishard Matthews,4.6,Eric Ebron,1.1,Bengals D/ST,11,Cooper Kupp,wr,5.9
2017,6,Richard Graney,Cam Newton,20.7,Frank Gore,7.7,Mark Ingram,27.5,Rishard Matthews,8.9,Michael Thomas,2.6,Jordan Reed,5.7,Rams D/ST,20.5,Wayne Gallman,rb,4.2
2017,7,Richard Graney,Cam Newton,7.4,Frank Gore,3.4,Mark Ingram,19,Rishard Matthews,5.5,Michael Thomas,11.7,Jordan Reed,22.4,Rams D/ST,13.1,Orleans Darkwa,rb,6.3
2017,8,Richard Graney,Cam Newton,12.6,Frank Gore,12.1,Mark Ingram,14.9,Michael Thomas,11.2,Robby Anderson,19.5,Jordan Reed,1,Bengals D/ST,13.7,Matt Forte,rb,8.2
2017,9,Richard Graney,Cam Newton,20.1,Frank Gore,9.2,Mark Ingram,8.4,Michael Thomas,10.5,Robby Anderson,12.8,Vernon Davis,10.2,Rams D/ST,10.9,Matt Forte,rb,23.6
