YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2017,1,James Carman,Aaron Rodgers,16.5,Marshawn Lynch,9.7,Alfred Morris,0.1,Larry Fitzgerald,10.4,Terrelle Pryor Sr.,9.6,Hunter Henry,0,Chiefs D/ST,1.3,James White,rb,8.3
2017,2,James Carman,Aaron Rodgers,18.5,Marshawn Lynch,11.4,James White,13.6,Larry Fitzgerald,3.6,Terrelle Pryor Sr.,4.1,Jesse James,4.7,Chiefs D/ST,8.7,Eric Decker,wr,4.7
2017,3,James Carman,Aaron Rodgers,24.8,Marshawn Lynch,3.1,James White,3.3,Larry Fitzgerald,27.4,Terrelle Pryor Sr.,2.9,Jesse James,2.9,Chiefs D/ST,9.8,Eric Decker,wr,6.9
2017,4,James Carman,Aaron Rodgers,23.1,Marshawn Lynch,1.2,Chris Johnson,7.8,Larry Fitzgerald,11.2,Terrelle Pryor Sr.,14.5,Marcedes Lewis,0,Chiefs D/ST,8.2,Robert Woods,wr,2.7
2017,5,James Carman,Aaron Rodgers,24,James White,9.5,Aaron Jones,19.9,Larry Fitzgerald,8.1,Danny Amendola,11.7,Marcedes Lewis,1.9,Chiefs D/ST,7.7,Tyler Lockett,wr,4.8
2017,6,James Carman,Aaron Rodgers,0.7,Marshawn Lynch,6.3,Aaron Jones,4.7,Larry Fitzgerald,22.8,Danny Amendola,5.5,Ed Dickson,5.6,Chiefs D/ST,1.5,James White,rb,6.5
2017,7,James Carman,Brett Hundley,11.9,Marshawn Lynch,0.9,Aaron Jones,21.3,Larry Fitzgerald,4.4,Danny Amendola,3.2,Ed Dickson,3.3,Chiefs D/ST,-3.1,Eric Decker,wr,0
2017,8,James Carman,Mitchell Trubisky,9.9,James White,11.2,Austin Ekeler,2.6,Tyler Lockett,14.9,Danny Amendola,2.4,Ed Dickson,4.4,Chiefs D/ST,18.7,Terrelle Pryor Sr.,wr,0
2017,9,James Carman,Josh McCown,16.9,Marshawn Lynch,19.3,Rod Smith,0,Larry Fitzgerald,9.5,Mohamed Sanu,9.8,Ed Dickson,0,49ers D/ST,3.4,Kenny Stills,wr,4.3
