YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2017,1,Peter Condie,Matt Ryan,17.9,Carlos Hyde,10.7,Dion Lewis,0.9,DeAndre Hopkins,15,Davante Adams,6.2,Kyle Rudolph,10.1,Broncos D/ST,6.7,Emmanuel Sanders,wr,4.1
2017,2,Peter Condie,Matt Ryan,14.9,Jay Ajayi,13.6,Carlos Hyde,15.8,DeAndre Hopkins,10.8,Davante Adams,19.9,Kyle Rudolph,6.5,Broncos D/ST,13.9,Emmanuel Sanders,wr,21.2
2017,3,Peter Condie,Matt Ryan,13.7,Jay Ajayi,3.5,Carlos Hyde,22.9,DeAndre Hopkins,11.1,Davante Adams,7.5,Kyle Rudolph,0.9,Broncos D/ST,4.4,Emmanuel Sanders,wr,11
2017,4,Peter Condie,Matt Ryan,8.5,Jay Ajayi,5.9,Carlos Hyde,12,DeAndre Hopkins,21.7,Davante Adams,8.3,Charles Clay,13.7,Broncos D/ST,8.3,Emmanuel Sanders,wr,4.7
2017,5,Peter Condie,Carson Palmer,15.6,Jay Ajayi,6.9,Carlos Hyde,2.3,DeAndre Hopkins,25.2,Davante Adams,22.1,Charles Clay,4.1,Ravens D/ST,13.4,Adam Thielen,wr,7
2017,6,Peter Condie,Matt Ryan,11.9,Jay Ajayi,13,Carlos Hyde,22,DeAndre Hopkins,8.9,Davante Adams,13.9,Kyle Rudolph,7.2,Ravens D/ST,19.8,Adam Thielen,wr,14.1
2017,7,Peter Condie,Carson Palmer,2.9,Jay Ajayi,9.2,Carlos Hyde,10.8,Davante Adams,2.2,Adam Thielen,6.6,Kyle Rudolph,6.8,Broncos D/ST,4.8,Austin Hooper,te,1.1
2017,8,Peter Condie,Matt Ryan,15.9,Jay Ajayi,6.1,Carlos Hyde,6.7,DeAndre Hopkins,32.4,Adam Thielen,18.3,Kyle Rudolph,11.7,Ravens D/ST,25.1,Austin Hooper,te,12.7
2017,9,Peter Condie,Jacoby Brissett,19.5,Jay Ajayi,13.7,C.J. Anderson,1.3,DeAndre Hopkins,17.6,Davante Adams,8.8,Austin Hooper,5.1,Ravens D/ST,6.2,Emmanuel Sanders,wr,3.5
