YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2017,1,Stefan Hanish,Kirk Cousins,10.6,Le'Veon Bell,6.2,Melvin Gordon,16.4,Alshon Jeffery,7.3,Michael Crabtree,11.3,Jack Doyle,5.1,Patriots D/ST,-2.5,Martavis Bryant,wr,2.4
2017,2,Stefan Hanish,Kirk Cousins,11.9,Le'Veon Bell,11.1,Melvin Gordon,17.3,Alshon Jeffery,18.7,Michael Crabtree,29,Cameron Brate,3.4,Buccaneers D/ST,17.7,Martavis Bryant,wr,17.3
2017,3,Stefan Hanish,Kirk Cousins,26.8,Le'Veon Bell,18.8,Melvin Gordon,13.9,Alshon Jeffery,7.6,Michael Crabtree,1.2,Jack Doyle,0.6,Buccaneers D/ST,-5.3,Martavis Bryant,wr,4
2017,4,Stefan Hanish,Kirk Cousins,20.6,Le'Veon Bell,32.6,Melvin Gordon,3.4,Alshon Jeffery,10.4,Martavis Bryant,6.3,Jack Doyle,5.2,Buccaneers D/ST,-1.3,Wendell Smallwood,rb,15.9
2017,5,Stefan Hanish,Josh McCown,13.5,Le'Veon Bell,14.3,Melvin Gordon,31.3,Alshon Jeffery,4.6,Michael Crabtree,17.2,Tyler Kroft,5.8,Bills D/ST,6,Ameer Abdullah,rb,3.9
2017,6,Stefan Hanish,Kirk Cousins,27.8,Le'Veon Bell,26.6,Melvin Gordon,31.5,Alshon Jeffery,9.1,Michael Crabtree,14.2,Hunter Henry,11.5,Packers D/ST,3.3,Ameer Abdullah,rb,5.4
2017,7,Stefan Hanish,Kirk Cousins,23.9,Le'Veon Bell,20.7,Melvin Gordon,4.9,Alshon Jeffery,4.7,Michael Crabtree,9.9,Hunter Henry,9.3,Bills D/ST,3.7,Wendell Smallwood,rb,4.9
2017,8,Stefan Hanish,Kirk Cousins,10.5,Le'Veon Bell,13.1,Melvin Gordon,20.4,Alshon Jeffery,15.2,Michael Crabtree,10.8,Hunter Henry,2.1,Bills D/ST,14.4,Ameer Abdullah,rb,5.3
2017,9,Stefan Hanish,Kirk Cousins,8.3,Ameer Abdullah,10.2,Andre Ellington,2.4,Michael Crabtree,5.5,Nelson Agholor,4.6,Ryan Griffin,0,Bills D/ST,-1.1,Alshon Jeffery,wr,23.4
