YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2017,1,Trey Shmo,Carson Wentz,18.9,Danny Woodhead,5.2,Duke Johnson Jr.,3,Amari Cooper,14.7,Jordy Nelson,17.4,Rob Gronkowski,4.3,Texans D/ST,0.7,Sammy Watkins,wr,8.3
2017,2,Trey Shmo,Carson Wentz,24.8,Joe Mixon,4.6,Kerwynn Williams,2.2,Amari Cooper,5.3,Jordy Nelson,0,Rob Gronkowski,20.6,Texans D/ST,7.7,Sammy Watkins,wr,4
2017,3,Trey Shmo,Carson Wentz,13.2,Joe Mixon,11.6,Duke Johnson Jr.,19.4,Amari Cooper,1.1,Jordy Nelson,20.2,Rob Gronkowski,18.9,Colts D/ST,5.6,Sammy Watkins,wr,25.6
2017,4,Trey Shmo,Carson Wentz,15.1,Joe Mixon,6.8,Duke Johnson Jr.,16.5,Amari Cooper,1.9,Jordy Nelson,21.5,Rob Gronkowski,10,Texans D/ST,21.9,Sammy Watkins,wr,2.2
2017,5,Trey Shmo,Carson Wentz,27.3,Joe Mixon,11.1,Duke Johnson Jr.,15.8,Amari Cooper,1.3,Jordy Nelson,9.4,Austin Seferian-Jenkins,11.9,Texans D/ST,-4.7,Sammy Watkins,wr,0
2017,6,Trey Shmo,Carson Wentz,21.4,Duke Johnson Jr.,5.4,Samaje Perine,12.2,Amari Cooper,5.3,Jordy Nelson,9,Rob Gronkowski,23.3,Texans D/ST,21.3,Sammy Watkins,wr,1.6
2017,7,Trey Shmo,Carson Wentz,31,Joe Mixon,8.3,Duke Johnson Jr.,10.1,Amari Cooper,38.5,Jordy Nelson,1.8,Rob Gronkowski,6.6,Cowboys D/ST,13.6,Sammy Watkins,wr,5.7
2017,8,Trey Shmo,Carson Wentz,17.1,Joe Mixon,10.4,Duke Johnson Jr.,6.3,Amari Cooper,7.7,Jamison Crowder,18,Rob Gronkowski,14.2,Texans D/ST,-1.2,Austin Seferian-Jenkins,te,5.3
2017,9,Trey Shmo,Carson Wentz,24.8,Joe Mixon,12.1,Kenyan Drake,13.4,Amari Cooper,7.8,Jordy Nelson,5.5,Austin Seferian-Jenkins,3,Texans D/ST,10.4,Sammy Watkins,wr,13.2
