YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2017,1,Geoffrey Raclin,Drew Brees,15.6,Paul Perkins,3.5,Devonta Freeman,10.9,A.J. Green,9.9,Golden Tate,16.4,Martellus Bennett,5.8,Giants D/ST,0.1,Theo Riddick,rb,11.6
2017,2,Geoffrey Raclin,Drew Brees,22.2,Paul Perkins,3.2,Devonta Freeman,23,A.J. Green,9.2,Golden Tate,4.5,Martellus Bennett,7.2,Giants D/ST,6,DeSean Jackson,wr,5.4
2017,3,Geoffrey Raclin,Drew Brees,20.8,Paul Perkins,4,Devonta Freeman,21.3,A.J. Green,22.1,Golden Tate,15.3,Martellus Bennett,2.7,Giants D/ST,3.6,Marvin Jones Jr.,wr,3.9
2017,4,Geoffrey Raclin,Drew Brees,19,Devonta Freeman,14.8,LeGarrette Blount,16.1,A.J. Green,14.8,Golden Tate,4.6,Martellus Bennett,6.9,Giants D/ST,-1.7,Marvin Jones Jr.,wr,5.2
2017,5,Geoffrey Raclin,Eli Manning,13,Theo Riddick,7.3,LeGarrette Blount,7.4,A.J. Green,26.4,Golden Tate,7.3,Martellus Bennett,6.8,Giants D/ST,2,Marvin Jones Jr.,wr,8.4
2017,6,Geoffrey Raclin,Drew Brees,11.5,Devonta Freeman,8.9,LeGarrette Blount,8.7,Golden Tate,19.1,DeSean Jackson,11.3,Martellus Bennett,3.2,Steelers D/ST,7.9,Marvin Jones Jr.,wr,18.6
2017,7,Geoffrey Raclin,Drew Brees,19.1,Devonta Freeman,10.5,LeGarrette Blount,2.9,A.J. Green,5.6,DeSean Jackson,9.8,Martellus Bennett,2.7,Steelers D/ST,12.2,Mohamed Sanu,wr,9.5
2017,8,Geoffrey Raclin,Drew Brees,11.8,Devonta Freeman,6.6,LeGarrette Blount,11.7,A.J. Green,10.2,DeSean Jackson,5.2,Tyler Kroft,7.1,Steelers D/ST,2,Marvin Jones Jr.,wr,15.8
2017,9,Geoffrey Raclin,Drew Brees,18.7,Devonta Freeman,8.4,Aaron Jones,2.1,A.J. Green,1.1,Golden Tate,14.8,Tyler Kroft,8.9,n/a,0,Marvin Jones Jr.,wr,26.2
