YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2017,1,Tommy Stupp,Tom Brady,10.7,Adrian Peterson,1.8,C.J. Anderson,9.3,Julio Jones,8.6,T.Y. Hilton,5.2,Delanie Walker,11.1,Seahawks D/ST,5.9,Eddie Lacy,rb,0.3
2017,2,Tommy Stupp,Tom Brady,30.8,C.J. Anderson,28.9,Jacquizz Rodgers,12.7,Julio Jones,13.3,T.Y. Hilton,6.9,Delanie Walker,14.2,Seahawks D/ST,7.6,Javorius Allen,rb,18.6
2017,3,Tommy Stupp,Tom Brady,35.7,C.J. Anderson,5.3,Jacquizz Rodgers,1.5,Julio Jones,12.6,T.Y. Hilton,24.8,Delanie Walker,5.1,Steelers D/ST,6.2,Javorius Allen,rb,5.3
2017,4,Tommy Stupp,Tom Brady,20.5,C.J. Anderson,13.2,Jacquizz Rodgers,11.8,Julio Jones,4.5,T.Y. Hilton,4.5,Delanie Walker,6.6,Seahawks D/ST,21.7,Javorius Allen,rb,7.4
2017,5,Tommy Stupp,Tom Brady,12.6,Jacquizz Rodgers,2,Javorius Allen,16.5,T.Y. Hilton,21.2,Will Fuller V,19.2,Delanie Walker,4,Seahawks D/ST,10.9,Evan Engram,te,0
2017,6,Tommy Stupp,Tom Brady,16.2,C.J. Anderson,1.7,Alvin Kamara,10.2,Julio Jones,10.2,T.Y. Hilton,2.4,Delanie Walker,3.4,Panthers D/ST,4.3,Javorius Allen,rb,8.1
2017,7,Tommy Stupp,Tom Brady,18.5,C.J. Anderson,6.6,Alvin Kamara,13.2,Julio Jones,20.4,T.Y. Hilton,3.7,Delanie Walker,7.8,Seahawks D/ST,8.3,Adrian Peterson,rb,3.8
2017,8,Tommy Stupp,Tom Brady,17.5,C.J. Anderson,9,Alvin Kamara,15.1,Julio Jones,8.9,T.Y. Hilton,2.5,Vernon Davis,3,Seahawks D/ST,10.7,Javorius Allen,rb,6.2
2017,9,Tommy Stupp,Matt Ryan,18.4,Alvin Kamara,28.2,Carlos Hyde,17,Julio Jones,14.8,Will Fuller V,4.2,Evan Engram,15,Seahawks D/ST,12.4,Adrian Peterson,rb,15.7
