YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2017,1,Charlie Frank,Derek Carr,18.7,Isaiah Crowell,9.6,Bilal Powell,6.4,Doug Baldwin,8,Mike Wallace,1.3,Greg Olsen,2.8,Eagles D/ST,21,Tyrell Williams,wr,7.9
2017,2,Charlie Frank,Derek Carr,21.2,Isaiah Crowell,3.7,Bilal Powell,1.3,Doug Baldwin,7.4,Mike Wallace,1.2,Greg Olsen,1.5,Eagles D/ST,2.8,Tyrell Williams,wr,7.4
2017,3,Charlie Frank,Derek Carr,5.2,Isaiah Crowell,6.4,Jonathan Stewart,6.6,Doug Baldwin,21.5,Jermaine Kearse,5.7,Zach Miller,2.2,Eagles D/ST,1.9,Tyrell Williams,wr,2.5
2017,4,Charlie Frank,Derek Carr,9.7,Isaiah Crowell,3.2,Jonathan Stewart,4.8,Doug Baldwin,7,Jermaine Kearse,3.7,Zach Miller,5.5,Eagles D/ST,2.2,Tyrell Williams,wr,20
2017,5,Charlie Frank,Matthew Stafford,15.2,Bilal Powell,5.3,Jonathan Stewart,5.9,Doug Baldwin,5.7,Jermaine Kearse,11.8,Zach Miller,11.4,Lions D/ST,1.4,Tyrell Williams,wr,2.7
2017,6,Charlie Frank,Matthew Stafford,14.9,Isaiah Crowell,8.3,Jonathan Stewart,-0.4,Mike Wallace,4.5,Jermaine Kearse,9.9,Zach Miller,9.5,Lions D/ST,15,Tyrell Williams,wr,2.2
2017,7,Charlie Frank,Derek Carr,30.2,Isaiah Crowell,9.1,Jonathan Stewart,4.8,Mike Wallace,1.4,Jermaine Kearse,9.4,Zach Miller,3.9,Giants D/ST,0.7,Tyrell Williams,wr,1.6
2017,8,Charlie Frank,Derek Carr,12.5,Isaiah Crowell,17.8,Jonathan Stewart,9.4,Jermaine Kearse,2.4,Paul Richardson,25.5,Zach Miller,0,Lions D/ST,3,Doug Baldwin,wr,8.4
2017,9,Charlie Frank,Derek Carr,13.7,Bilal Powell,7.4,Jonathan Stewart,-1.9,Jermaine Kearse,4.8,Paul Richardson,5.6,Marcedes Lewis,6.4,Lions D/ST,6.1,Doug Baldwin,wr,20.3
